22289	27767
2336	9282
3505	8043
24562	22516
4571	17258
5001	149
16500	20312
2258	11544
9553	17519
26199	2576
4282	358
16921	16012
18016	22063
24103	12112
4004	11014
24554	16520
21934	16878
28064	1000
18064	15535
2065	4652
20032	4549
8031	21125
2005	21641
12152	10201
1262	12399
4006	18609
20781	23043
7417	6450
5535	20
24785	6516
11411	29502
4145	24843
21141	323
8432	4348
16121	8278
16203	2158
4881	4257
23846	12027
2546	8024
19626	8000
5134	16254
12129	11057
1050	17741
0	16570
16614	22501
24285	10500
10005	4516
1251	8407
16319	8211
16039	1799
16907	14772
1197	10048
12082	14035
1395	11004
2505	6267
22063	1102
21822	16136
10094	26463
4189	8183
8000	18003
9010	4253
26065	20289
5504	2385
2963	327
2306	16133
25627	17377
21126	4080
16333	3127
7071	22892
22376	131
4055	18008
7270	11451
5235	25008
16005	9637
2257	6383
2086	10276
10985	629
2272	8340
1004	565
6566	1145
329	28250
6026	33
18195	1954
21	20286
4129	24004
16254	12011
2	8190
25507	5532
19011	2839
1381	9116
28039	13095
7137	17
24594	684
21258	17789
20174	36
16165	28099
4250	14174
24148	95
4642	12252
14962	29625
20534	24798
23523	6483
4580	5150
28462	4257
562	13570
24908	3314
30066	13704
4008	16306
29444	20307
25266	16020
5508	4580
2670	5736
25176	8400
16258	18943
4063	16381
6762	8157
16030	2657
18180	16001
14135	7858
1631	8000
5508	2017
758	12027
10543	8008
20016	4879
280	15096
25841	10086
24095	4650
20113	3255
1125	10532
8011	21002
16506	2657
16255	4586
5256	17125
9125	4125
10128	14245
12234	17583
339	18437
2019	26891
25109	8000
6844	19086
17618	2034
16000	24250
10565	2986
3028	26252
20103	94
12341	9361
17000	2117
3973	1569
2549	313
908	2391
1517	6899
166	5324
17376	28015
8082	762
2217	26102
16879	2411
7377	135
22469	5313
14637	4380
16297	4607
16883	1161
11586	21009
4751	26406
24048	915
9657	29004
26781	16285
17008	12012
4	22424
16095	24609
14641	6048
25378	1751
3251	1125
12000	70
3125	2314
30198	1229
8162	10173
17002	4028
6000	9000
6049	3172
1527	8018
20117	3376
625	5250
18625	1068
4408	64
24781	8528
17392	5510
2178	16596
28072	17023
1235	7757
4166	3711
16274	25062
12063	18004
875	6133
11235	7108
16009	5252
26562	1017
1692	250
7010	104
622	21409
22379	9002
24136	14297
20861	1079
24219	4315
36	4768
18010	16562
2001	16039
1154	2474
13256	6063
19016	16760
3371	500
3379	27336
4219	22586
2535	12269
16540	17596
4261	25014
18388	20007
17752	19064
4543	10502
5011	378
1068	2650
10348	21046
22505	8705
2274	12001
6848	2159
11066	14508
386	8668
0	13009
24004	24502
16005	12160
10132	16641
8766	17922
18291	17118
24506	24141
378	17109
28958	18251
24879	5516
20008	4142
13049	5391
6676	12132
2064	4262
4595	5576
13026	1036
16156	1158
3447	2408
3008	21355
752	11008
24519	533
25069	1181
13135	16852
14418	17938
26691	26093
21625	10100
9290	541
20670	1
9251	4006
21251	24281
9502	11031
22137	7442
20515	321
14041	0
8133	467
1782	18267
5576	20062
24261	9079
12005	1099
5173	4637
3420	10091
8111	894
4505	4086
11057	845
3048	1028
13010	25031
8161	95
2250	25015
2053	12758
2145	25219
9	9039
1534	10776
1257	14320
30012	2250
8125	4323
12314	149
3251	113
18414	8520
26568	125
6074	5457
6049	9080
25031	16008
25007	24208
10126	565
26011	16667
1084	20431
18625	22385
12531	1074
18437	1753
16827	16033
18701	4347
17505	5524
20523	8584
12115	18135
4069	9502
17562	27026
16087	3000
